intervention_id,customer_id,intervention_date,intervention_type,channel_used,outcome,cost_incurred,follow_up_date
IVN-00001-001,SME-2024-00001,2026-02-16,Service Upgrade Offer,Email,Accepted,500000,2026-03-10
IVN-00002-002,SME-2024-00002,2026-03-05,Loyalty Reward,Email,Accepted,250000,2026-03-15
IVN-00005-003,SME-2024-00005,2025-12-04,Executive Check-in,Visit,Accepted,250000,2025-12-23
IVN-00007-004,SME-2024-00007,2025-09-09,Retention Offer,Visit,Accepted,100000,2025-09-24
IVN-00007-005,SME-2024-00007,2025-07-04,Loyalty Reward,Email,Accepted,250000,2025-07-20
IVN-00008-006,SME-2024-00008,2025-11-13,Win-back Call,WhatsApp,Partial,250000,2025-12-05
IVN-00009-007,SME-2024-00009,2025-08-07,Loyalty Reward,Email,No Response,100000,2025-08-25
IVN-00010-008,SME-2024-00010,2025-10-01,Retention Offer,Phone Call,Accepted,100000,2025-10-16
IVN-00012-009,SME-2024-00012,2026-06-04,Retention Offer,Visit,Partial,100000,2026-06-28
IVN-00012-010,SME-2024-00012,2026-03-20,Discount Package,Phone Call,Declined,100000,2026-04-13
IVN-00012-011,SME-2024-00012,2026-01-11,Service Upgrade Offer,Phone Call,Declined,100000,2026-01-24
IVN-00012-012,SME-2024-00012,2026-06-06,Win-back Call,Phone Call,No Response,500000,2026-06-20
IVN-00014-013,SME-2024-00014,2026-01-16,Retention Offer,Phone Call,No Response,250000,2026-02-01
IVN-00014-014,SME-2024-00014,2026-02-09,Service Upgrade Offer,Visit,Declined,100000,2026-02-19
IVN-00014-015,SME-2024-00014,2026-01-20,Executive Check-in,Visit,Partial,500000,2026-02-19
IVN-00015-016,SME-2024-00015,2026-02-07,Win-back Call,Email,Accepted,500000,2026-03-01
IVN-00015-017,SME-2024-00015,2025-07-16,Executive Check-in,Email,Declined,250000,2025-08-10
IVN-00016-018,SME-2024-00016,2025-08-19,Retention Offer,WhatsApp,Accepted,100000,2025-08-31
IVN-00016-019,SME-2024-00016,2025-07-22,Service Upgrade Offer,WhatsApp,No Response,250000,2025-08-16
IVN-00018-020,SME-2024-00018,2026-03-18,Loyalty Reward,Email,Declined,100000,2026-04-15
IVN-00019-021,SME-2024-00019,2025-09-14,Loyalty Reward,Email,Accepted,250000,2025-09-28
IVN-00019-022,SME-2024-00019,2025-07-17,Service Upgrade Offer,Phone Call,Declined,100000,2025-07-30
IVN-00020-023,SME-2024-00020,2026-02-17,Service Upgrade Offer,Visit,Accepted,100000,2026-03-03
IVN-00021-024,SME-2024-00021,2025-11-13,Win-back Call,Email,Declined,100000,2025-11-24
IVN-00021-025,SME-2024-00021,2026-01-14,Loyalty Reward,Visit,Accepted,100000,2026-01-28
IVN-00022-026,SME-2024-00022,2026-06-01,Discount Package,Phone Call,Accepted,250000,2026-06-20
IVN-00022-027,SME-2024-00022,2025-08-19,Service Upgrade Offer,Visit,No Response,100000,2025-09-08
IVN-00024-028,SME-2024-00024,2026-02-11,Executive Check-in,Phone Call,No Response,250000,2026-02-28
IVN-00024-029,SME-2024-00024,2025-12-22,Win-back Call,Visit,No Response,250000,2025-12-29
IVN-00025-030,SME-2024-00025,2025-08-04,Retention Offer,Visit,Partial,250000,2025-08-27
IVN-00028-031,SME-2024-00028,2025-11-04,Retention Offer,Visit,Accepted,500000,2025-11-22
IVN-00031-032,SME-2024-00031,2025-10-10,Retention Offer,Visit,Accepted,250000,2025-11-01
IVN-00032-033,SME-2024-00032,2026-03-17,Win-back Call,Phone Call,Declined,100000,2026-04-14
IVN-00032-034,SME-2024-00032,2026-04-15,Service Upgrade Offer,Email,Accepted,100000,2026-04-23
IVN-00033-035,SME-2024-00033,2026-04-22,Win-back Call,Visit,Accepted,100000,2026-05-08
IVN-00035-036,SME-2024-00035,2026-04-16,Win-back Call,Phone Call,No Response,100000,2026-05-02
IVN-00035-037,SME-2024-00035,2026-02-12,Executive Check-in,WhatsApp,Accepted,250000,2026-03-08
IVN-00035-038,SME-2024-00035,2026-05-09,Win-back Call,Email,Accepted,500000,2026-05-23
IVN-00037-039,SME-2024-00037,2026-03-24,Retention Offer,Visit,Accepted,500000,2026-04-15
IVN-00037-040,SME-2024-00037,2025-08-13,Retention Offer,Visit,Accepted,250000,2025-08-24
IVN-00039-041,SME-2024-00039,2025-07-09,Win-back Call,Email,Accepted,500000,2025-08-04
IVN-00040-042,SME-2024-00040,2026-02-18,Win-back Call,WhatsApp,Accepted,100000,2026-03-01
IVN-00040-043,SME-2024-00040,2026-04-20,Discount Package,Phone Call,No Response,250000,2026-04-30
IVN-00040-044,SME-2024-00040,2025-09-17,Executive Check-in,Phone Call,No Response,100000,2025-10-08
IVN-00041-045,SME-2024-00041,2026-06-06,Discount Package,WhatsApp,Accepted,250000,2026-07-03
IVN-00042-046,SME-2024-00042,2026-05-19,Retention Offer,Phone Call,Accepted,100000,2026-06-03
IVN-00044-047,SME-2024-00044,2025-10-21,Discount Package,Visit,Accepted,500000,2025-11-19
IVN-00044-048,SME-2024-00044,2026-04-14,Win-back Call,Email,Accepted,500000,2026-04-25
IVN-00049-049,SME-2024-00049,2025-08-15,Win-back Call,Visit,Accepted,250000,2025-09-09
IVN-00051-050,SME-2024-00051,2025-10-11,Loyalty Reward,Visit,Partial,500000,2025-10-30
IVN-00052-051,SME-2024-00052,2025-12-21,Executive Check-in,Email,Accepted,500000,2026-01-09
IVN-00054-052,SME-2024-00054,2025-09-18,Service Upgrade Offer,WhatsApp,Partial,500000,2025-10-12
IVN-00056-053,SME-2024-00056,2026-06-22,Win-back Call,Phone Call,Accepted,100000,2026-07-07
IVN-00056-054,SME-2024-00056,2025-07-15,Service Upgrade Offer,Phone Call,Declined,500000,2025-08-14
IVN-00058-055,SME-2024-00058,2026-04-14,Discount Package,Email,No Response,100000,2026-04-26
IVN-00060-056,SME-2024-00060,2025-12-02,Win-back Call,Phone Call,Accepted,250000,2025-12-18
IVN-00061-057,SME-2024-00061,2026-03-12,Retention Offer,Email,Declined,250000,2026-04-08
IVN-00063-058,SME-2024-00063,2026-06-17,Win-back Call,Email,Partial,500000,2026-07-11
IVN-00063-059,SME-2024-00063,2026-03-04,Discount Package,Phone Call,Accepted,100000,2026-03-11
IVN-00066-060,SME-2024-00066,2026-04-04,Loyalty Reward,WhatsApp,Accepted,100000,2026-05-03
IVN-00066-061,SME-2024-00066,2026-05-18,Discount Package,WhatsApp,Accepted,100000,2026-06-13
IVN-00067-062,SME-2024-00067,2025-08-05,Retention Offer,Email,Partial,100000,2025-08-29
IVN-00067-063,SME-2024-00067,2025-07-12,Win-back Call,Visit,No Response,500000,2025-07-27
IVN-00067-064,SME-2024-00067,2025-12-03,Service Upgrade Offer,Visit,Accepted,250000,2025-12-12
IVN-00067-065,SME-2024-00067,2026-05-14,Loyalty Reward,Visit,Accepted,500000,2026-05-22
IVN-00068-066,SME-2024-00068,2025-10-24,Discount Package,Phone Call,Accepted,100000,2025-11-23
IVN-00068-067,SME-2024-00068,2026-01-18,Retention Offer,Visit,Accepted,250000,2026-02-03
IVN-00068-068,SME-2024-00068,2026-04-11,Loyalty Reward,Visit,Declined,250000,2026-05-08
IVN-00068-069,SME-2024-00068,2025-08-14,Service Upgrade Offer,WhatsApp,Accepted,100000,2025-08-23
IVN-00069-070,SME-2024-00069,2025-11-08,Executive Check-in,Visit,Accepted,500000,2025-12-02
IVN-00070-071,SME-2024-00070,2025-10-24,Win-back Call,Visit,Partial,500000,2025-11-02
IVN-00071-072,SME-2024-00071,2026-04-19,Discount Package,Email,Declined,100000,2026-04-26
IVN-00075-073,SME-2024-00075,2025-07-21,Service Upgrade Offer,Email,Partial,500000,2025-08-14
IVN-00075-074,SME-2024-00075,2026-02-20,Service Upgrade Offer,WhatsApp,Accepted,100000,2026-03-02
IVN-00075-075,SME-2024-00075,2026-02-17,Retention Offer,Visit,No Response,250000,2026-03-12
IVN-00076-076,SME-2024-00076,2026-04-22,Retention Offer,Visit,Partial,250000,2026-05-18
IVN-00076-077,SME-2024-00076,2026-02-13,Win-back Call,Email,Accepted,500000,2026-02-24
IVN-00077-078,SME-2024-00077,2025-09-07,Executive Check-in,Visit,Accepted,100000,2025-10-06
IVN-00077-079,SME-2024-00077,2026-05-15,Retention Offer,Visit,Accepted,100000,2026-06-08
IVN-00077-080,SME-2024-00077,2026-02-21,Discount Package,Email,Accepted,500000,2026-03-14
IVN-00078-081,SME-2024-00078,2025-10-18,Service Upgrade Offer,Phone Call,Accepted,100000,2025-11-04
IVN-00078-082,SME-2024-00078,2025-12-06,Executive Check-in,WhatsApp,Accepted,100000,2025-12-19
IVN-00080-083,SME-2024-00080,2025-11-05,Retention Offer,WhatsApp,Accepted,250000,2025-11-12
IVN-00083-084,SME-2024-00083,2025-12-22,Executive Check-in,WhatsApp,Accepted,500000,2026-01-17
IVN-00083-085,SME-2024-00083,2025-12-19,Loyalty Reward,Visit,Accepted,250000,2026-01-09
IVN-00083-086,SME-2024-00083,2025-08-19,Retention Offer,Email,Accepted,500000,2025-09-02
IVN-00085-087,SME-2024-00085,2026-02-04,Loyalty Reward,Phone Call,Accepted,250000,2026-02-14
IVN-00087-088,SME-2024-00087,2026-04-20,Win-back Call,Email,Accepted,250000,2026-05-07
IVN-00087-089,SME-2024-00087,2025-08-19,Discount Package,Visit,Accepted,500000,2025-09-12
IVN-00088-090,SME-2024-00088,2026-02-04,Service Upgrade Offer,Email,Accepted,250000,2026-02-24
IVN-00088-091,SME-2024-00088,2026-04-17,Service Upgrade Offer,WhatsApp,Declined,500000,2026-05-14
IVN-00088-092,SME-2024-00088,2025-07-24,Win-back Call,Visit,Declined,100000,2025-08-03
IVN-00089-093,SME-2024-00089,2026-03-20,Service Upgrade Offer,WhatsApp,Accepted,100000,2026-04-08
IVN-00092-094,SME-2024-00092,2026-03-16,Service Upgrade Offer,Email,Accepted,250000,2026-04-13
IVN-00093-095,SME-2024-00093,2026-06-15,Executive Check-in,Email,Partial,100000,2026-07-07
IVN-00093-096,SME-2024-00093,2025-07-01,Win-back Call,Email,Partial,500000,2025-07-19
IVN-00094-097,SME-2024-00094,2026-05-13,Win-back Call,Phone Call,Accepted,100000,2026-06-10
IVN-00095-098,SME-2024-00095,2026-05-21,Win-back Call,Visit,Accepted,250000,2026-06-18
IVN-00095-099,SME-2024-00095,2026-03-09,Executive Check-in,Email,Declined,500000,2026-03-19
IVN-00096-100,SME-2024-00096,2025-07-08,Discount Package,Email,No Response,100000,2025-07-24
IVN-00098-101,SME-2024-00098,2026-02-24,Retention Offer,Phone Call,Partial,250000,2026-03-24
IVN-00099-102,SME-2024-00099,2026-05-02,Discount Package,Email,No Response,500000,2026-05-09
IVN-00100-103,SME-2024-00100,2026-06-04,Loyalty Reward,Phone Call,Accepted,500000,2026-06-28
IVN-00101-104,SME-2024-00101,2025-08-22,Win-back Call,Visit,Accepted,250000,2025-09-17
IVN-00102-105,SME-2024-00102,2025-09-04,Win-back Call,WhatsApp,Accepted,250000,2025-09-29
IVN-00102-106,SME-2024-00102,2026-05-12,Discount Package,Visit,Declined,100000,2026-06-04
IVN-00103-107,SME-2024-00103,2026-02-09,Retention Offer,WhatsApp,Accepted,500000,2026-02-16
IVN-00103-108,SME-2024-00103,2026-06-19,Retention Offer,WhatsApp,No Response,500000,2026-06-29
IVN-00104-109,SME-2024-00104,2025-08-24,Executive Check-in,Visit,Accepted,500000,2025-09-09
IVN-00104-110,SME-2024-00104,2026-01-02,Win-back Call,WhatsApp,Accepted,250000,2026-01-16
IVN-00105-111,SME-2024-00105,2025-09-03,Win-back Call,Visit,Accepted,250000,2025-09-27
IVN-00106-112,SME-2024-00106,2026-06-18,Loyalty Reward,Visit,No Response,500000,2026-07-09
IVN-00108-113,SME-2024-00108,2025-11-23,Executive Check-in,Phone Call,Partial,250000,2025-12-20
IVN-00109-114,SME-2024-00109,2025-11-08,Executive Check-in,Phone Call,Accepted,100000,2025-11-22
IVN-00109-115,SME-2024-00109,2026-01-24,Service Upgrade Offer,Visit,Accepted,500000,2026-02-12
IVN-00109-116,SME-2024-00109,2026-06-15,Loyalty Reward,Visit,Accepted,250000,2026-06-22
IVN-00110-117,SME-2024-00110,2025-09-18,Executive Check-in,Visit,Partial,250000,2025-10-09
IVN-00111-118,SME-2024-00111,2025-08-10,Service Upgrade Offer,Visit,Accepted,100000,2025-09-03
IVN-00111-119,SME-2024-00111,2026-06-21,Service Upgrade Offer,Phone Call,Partial,100000,2026-06-30
IVN-00112-120,SME-2024-00112,2025-07-04,Loyalty Reward,WhatsApp,Accepted,100000,2025-07-20
IVN-00112-121,SME-2024-00112,2025-11-23,Loyalty Reward,WhatsApp,No Response,500000,2025-12-23
IVN-00114-122,SME-2024-00114,2025-08-12,Executive Check-in,Phone Call,No Response,500000,2025-08-24
IVN-00115-123,SME-2024-00115,2025-10-09,Loyalty Reward,Visit,Accepted,500000,2025-10-27
IVN-00115-124,SME-2024-00115,2025-09-19,Win-back Call,Visit,Accepted,100000,2025-10-13
IVN-00116-125,SME-2024-00116,2025-11-24,Discount Package,Visit,Accepted,500000,2025-12-21
IVN-00116-126,SME-2024-00116,2025-07-01,Loyalty Reward,Visit,Accepted,100000,2025-07-23
IVN-00117-127,SME-2024-00117,2026-04-06,Loyalty Reward,Email,Accepted,500000,2026-04-26
IVN-00118-128,SME-2024-00118,2026-06-02,Win-back Call,Visit,Accepted,500000,2026-06-10
IVN-00119-129,SME-2024-00119,2026-01-03,Win-back Call,Visit,Accepted,100000,2026-01-21
IVN-00119-130,SME-2024-00119,2025-08-08,Win-back Call,Email,Accepted,100000,2025-08-31
IVN-00121-131,SME-2024-00121,2026-03-15,Win-back Call,Email,Accepted,500000,2026-04-06
IVN-00121-132,SME-2024-00121,2026-04-06,Win-back Call,Visit,Accepted,250000,2026-05-05
IVN-00122-133,SME-2024-00122,2026-02-03,Loyalty Reward,Visit,Accepted,500000,2026-03-03
IVN-00122-134,SME-2024-00122,2025-11-23,Win-back Call,WhatsApp,Accepted,250000,2025-12-23
IVN-00123-135,SME-2024-00123,2026-04-19,Executive Check-in,Visit,Accepted,100000,2026-05-18
IVN-00124-136,SME-2024-00124,2026-03-07,Service Upgrade Offer,WhatsApp,Accepted,500000,2026-04-06
IVN-00124-137,SME-2024-00124,2025-09-09,Loyalty Reward,Email,Accepted,250000,2025-09-28
