payment_id,customer_id,invoice_period,invoice_amount,payment_date,due_date,days_overdue,payment_method,partial_payment_flag
PAY-00001-202507,SME-2024-00001,2025-07,3926332,2025-07-15,2025-07-15,0,Virtual Account,False
PAY-00001-202508,SME-2024-00001,2025-08,3971601,2025-08-16,2025-08-15,1,Virtual Account,False
PAY-00001-202509,SME-2024-00001,2025-09,4105736,2025-09-17,2025-09-15,2,Bank Transfer,False
PAY-00001-202510,SME-2024-00001,2025-10,3995564,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00001-202511,SME-2024-00001,2025-11,4079700,2025-11-16,2025-11-15,1,Virtual Account,False
PAY-00001-202512,SME-2024-00001,2025-12,4097842,2025-12-15,2025-12-15,0,Bank Transfer,False
PAY-00001-202601,SME-2024-00001,2026-01,4124489,2026-01-16,2026-01-15,1,Bank Transfer,False
PAY-00001-202602,SME-2024-00001,2026-02,4008637,2026-02-16,2026-02-15,1,Cash,False
PAY-00001-202603,SME-2024-00001,2026-03,4073866,2026-03-18,2026-03-15,3,Auto-debit,False
PAY-00001-202604,SME-2024-00001,2026-04,4080162,2026-04-16,2026-04-15,1,Auto-debit,False
PAY-00001-202605,SME-2024-00001,2026-05,3998241,2026-05-17,2026-05-15,2,Virtual Account,False
PAY-00001-202606,SME-2024-00001,2026-06,4155230,2026-06-16,2026-06-15,1,Virtual Account,False
PAY-00002-202507,SME-2024-00002,2025-07,1961667,2025-07-15,2025-07-15,0,Cash,False
PAY-00002-202508,SME-2024-00002,2025-08,1869280,2025-08-15,2025-08-15,0,Bank Transfer,False
PAY-00002-202509,SME-2024-00002,2025-09,1948199,2025-09-16,2025-09-15,1,Cash,False
PAY-00002-202510,SME-2024-00002,2025-10,1894752,2025-10-16,2025-10-15,1,Virtual Account,False
PAY-00002-202511,SME-2024-00002,2025-11,1915333,2025-11-15,2025-11-15,0,Virtual Account,False
PAY-00002-202512,SME-2024-00002,2025-12,1924605,2025-12-15,2025-12-15,0,Cash,False
PAY-00002-202601,SME-2024-00002,2026-01,1959081,2026-01-18,2026-01-15,3,Virtual Account,False
PAY-00002-202602,SME-2024-00002,2026-02,1941572,2026-02-16,2026-02-15,1,Auto-debit,False
PAY-00002-202603,SME-2024-00002,2026-03,1884946,2026-03-15,2026-03-15,0,Virtual Account,False
PAY-00002-202604,SME-2024-00002,2026-04,1954668,2026-04-16,2026-04-15,1,Cash,False
PAY-00002-202605,SME-2024-00002,2026-05,1916532,2026-05-19,2026-05-15,4,Auto-debit,False
PAY-00002-202606,SME-2024-00002,2026-06,1927834,2026-06-15,2026-06-15,0,Virtual Account,False
PAY-00003-202507,SME-2024-00003,2025-07,1644754,2025-07-15,2025-07-15,0,Auto-debit,False
PAY-00003-202508,SME-2024-00003,2025-08,1599373,2025-08-15,2025-08-15,0,Cash,False
PAY-00003-202509,SME-2024-00003,2025-09,1690243,2025-09-15,2025-09-15,0,Virtual Account,False
PAY-00003-202510,SME-2024-00003,2025-10,1622556,2025-10-15,2025-10-15,0,Auto-debit,False
PAY-00003-202511,SME-2024-00003,2025-11,1617721,2025-11-15,2025-11-15,0,Auto-debit,True
PAY-00003-202512,SME-2024-00003,2025-12,1668957,2025-12-16,2025-12-15,1,Bank Transfer,False
PAY-00003-202601,SME-2024-00003,2026-01,1634024,2026-01-16,2026-01-15,1,Virtual Account,False
PAY-00003-202602,SME-2024-00003,2026-02,1624363,2026-02-16,2026-02-15,1,Bank Transfer,False
PAY-00003-202603,SME-2024-00003,2026-03,1602029,2026-03-17,2026-03-15,2,Auto-debit,False
PAY-00003-202604,SME-2024-00003,2026-04,1682570,2026-04-15,2026-04-15,0,Virtual Account,False
PAY-00003-202605,SME-2024-00003,2026-05,1685636,2026-05-16,2026-05-15,1,Virtual Account,False
PAY-00003-202606,SME-2024-00003,2026-06,1678435,2026-06-16,2026-06-15,1,Auto-debit,False
PAY-00004-202507,SME-2024-00004,2025-07,1574616,2025-07-16,2025-07-15,1,Virtual Account,False
PAY-00004-202508,SME-2024-00004,2025-08,1587616,2025-08-15,2025-08-15,0,Auto-debit,False
PAY-00004-202509,SME-2024-00004,2025-09,1594625,2025-09-16,2025-09-15,1,Bank Transfer,False
