sub_id,customer_id,product_code,product_category,start_date,end_date,monthly_recurring_revenue,contract_period,auto_renewal
SUB-00001-001,SME-2024-00001,SME-BROADBAND-50,Broadband,2020-12-25,,4042891,12,True
SUB-00002-001,SME-2024-00002,SME-CLOUD-BASIC,Cloud Service,2023-12-23,,1908333,12,True
SUB-00003-001,SME-2024-00003,SME-BROADBAND-50,Broadband,2023-08-22,,1645650,24,True
SUB-00004-001,SME-2024-00004,SME-BROADBAND-30,Broadband,2023-04-08,,1587796,24,True
SUB-00005-001,SME-2024-00005,SME-DEDICATED-100,Internet Dedicated,2025-04-18,,4161364,24,False
SUB-00006-001,SME-2024-00006,SME-MANAGED-WIFI,Managed WiFi,2024-06-21,,1587910,12,True
SUB-00007-001,SME-2024-00007,SME-DEDICATED-50,Internet Dedicated,2020-12-03,,4766079,12,True
SUB-00008-001,SME-2024-00008,SME-BROADBAND-30,Broadband,2025-12-20,,995323,12,False
SUB-00009-001,SME-2024-00009,SME-MANAGED-WIFI,Managed WiFi,2025-11-09,,2710998,12,False
SUB-00009-002,SME-2024-00009,SME-BROADBAND-30,Broadband,2026-02-09,,1094396,6,False
SUB-00010-001,SME-2024-00010,SME-IOT-STARTER,IoT Package,2020-11-08,,849268,12,True
SUB-00010-002,SME-2024-00010,SME-MANAGED-WIFI,Managed WiFi,2021-04-08,2021-10-08,1558634,12,True
SUB-00011-001,SME-2024-00011,SME-IOT-STARTER,IoT Package,2024-12-05,,923738,6,True
SUB-00012-001,SME-2024-00012,SME-CLOUD-BASIC,Cloud Service,2025-09-02,,2250073,12,False
SUB-00013-001,SME-2024-00013,SME-CLOUD-PRO,Cloud Service,2020-12-20,2021-11-20,5028947,12,True
SUB-00013-002,SME-2024-00013,SME-BROADBAND-30,Broadband,2021-12-20,,1136452,12,True
SUB-00014-001,SME-2024-00014,SME-MANAGED-WIFI,Managed WiFi,2024-06-18,,2167998,12,True
SUB-00014-002,SME-2024-00014,SME-BUNDLE-BIZ,Bundle Business,2026-05-18,,8444690,12,False
SUB-00015-001,SME-2024-00015,SME-DEDICATED-100,Internet Dedicated,2024-10-07,,8556852,12,True
SUB-00016-001,SME-2024-00016,SME-CLOUD-PRO,Cloud Service,2023-08-01,,2763698,12,True
SUB-00016-002,SME-2024-00016,SME-BROADBAND-30,Broadband,2026-01-01,,1414726,12,False
SUB-00017-001,SME-2024-00017,SME-DEDICATED-50,Internet Dedicated,2022-04-06,,1434668,12,True
SUB-00018-001,SME-2024-00018,SME-DEDICATED-100,Internet Dedicated,2021-02-28,,1930289,12,True
SUB-00019-001,SME-2024-00019,SME-BROADBAND-30,Broadband,2020-12-21,,1989647,12,True
SUB-00020-001,SME-2024-00020,SME-IOT-STARTER,IoT Package,2021-03-14,,1220444,6,True
SUB-00021-001,SME-2024-00021,SME-BUNDLE-BIZ,Bundle Business,2026-01-08,,5318411,24,False
SUB-00021-002,SME-2024-00021,SME-UC-BASIC,Unified Communication,2025-10-08,,829207,12,False
SUB-00022-001,SME-2024-00022,SME-BROADBAND-50,Broadband,2020-09-06,,1411518,12,True
SUB-00022-002,SME-2024-00022,SME-DEDICATED-50,Internet Dedicated,2026-06-06,,4090401,12,False
SUB-00023-001,SME-2024-00023,SME-DEDICATED-100,Internet Dedicated,2021-02-04,,2458722,12,True
SUB-00024-001,SME-2024-00024,SME-BUNDLE-BIZ,Bundle Business,2024-06-24,,6506308,12,True
SUB-00025-001,SME-2024-00025,SME-BROADBAND-50,Broadband,2023-03-27,,3338111,12,True
SUB-00025-002,SME-2024-00025,SME-UC-BASIC,Unified Communication,2023-09-27,,882535,12,True
SUB-00026-001,SME-2024-00026,SME-DEDICATED-50,Internet Dedicated,2026-03-10,,4422938,6,False
SUB-00027-001,SME-2024-00027,SME-DEDICATED-100,Internet Dedicated,2021-05-28,,5188679,12,True
SUB-00028-001,SME-2024-00028,SME-CLOUD-PRO,Cloud Service,2020-06-12,,4415014,12,True
SUB-00029-001,SME-2024-00029,SME-MANAGED-WIFI,Managed WiFi,2023-12-10,,1628926,12,True
SUB-00030-001,SME-2024-00030,SME-CLOUD-PRO,Cloud Service,2024-10-02,,2011911,12,True
SUB-00030-002,SME-2024-00030,SME-CLOUD-BASIC,Cloud Service,2025-03-02,,1907417,12,True
SUB-00030-003,SME-2024-00030,SME-UC-BASIC,Unified Communication,2026-03-02,,1077704,12,False
SUB-00031-001,SME-2024-00031,SME-BROADBAND-50,Broadband,2022-10-11,,3992277,24,True
SUB-00031-002,SME-2024-00031,SME-IOT-STARTER,IoT Package,2023-10-11,,585278,24,True
SUB-00032-001,SME-2024-00032,SME-CLOUD-BASIC,Cloud Service,2022-10-16,,2353943,12,True
SUB-00033-001,SME-2024-00033,SME-IOT-STARTER,IoT Package,2023-09-30,2024-08-30,620982,6,True
