interaction_id,customer_id,interaction_date,channel,category,sentiment,resolution_status,response_time_minutes,follow_up_required
INT-00001-0001,SME-2024-00001,2025-09-01 12:21:00,Email,General,Negatif,Resolved,43,False
INT-00001-0002,SME-2024-00001,2025-09-14 14:57:00,WhatsApp,Billing,Netral,Resolved,39,False
INT-00001-0003,SME-2024-00001,2026-04-05 13:11:00,WhatsApp,General,Netral,Resolved,57,False
INT-00001-0004,SME-2024-00001,2025-12-19 14:43:00,Live Chat,General,Positif,Resolved,32,False
INT-00001-0005,SME-2024-00001,2026-03-19 11:57:00,WhatsApp,General,Positif,Resolved,37,False
INT-00003-0006,SME-2024-00003,2026-04-05 08:45:00,Phone,General,Positif,Resolved,57,False
INT-00003-0007,SME-2024-00003,2025-07-20 17:23:00,WhatsApp,Upgrade,Positif,Resolved,16,False
INT-00004-0008,SME-2024-00004,2026-01-18 12:46:00,WhatsApp,General,Negatif,Resolved,52,False
INT-00005-0009,SME-2024-00005,2026-03-07 10:11:00,Phone,Technical,Positif,Resolved,24,False
INT-00005-0010,SME-2024-00005,2025-08-08 17:12:00,WhatsApp,Technical,Positif,Pending,38,True
INT-00005-0011,SME-2024-00005,2025-07-25 11:03:00,WhatsApp,Billing,Positif,Resolved,43,False
INT-00005-0012,SME-2024-00005,2025-07-25 13:59:00,Live Chat,Upgrade,Netral,Resolved,34,False
INT-00005-0013,SME-2024-00005,2025-11-24 11:20:00,Live Chat,General,Positif,Resolved,16,False
INT-00006-0014,SME-2024-00006,2026-02-17 14:20:00,Phone,Technical,Positif,Resolved,8,False
INT-00006-0015,SME-2024-00006,2026-05-06 17:11:00,Portal,Technical,Netral,Resolved,19,False
INT-00008-0016,SME-2024-00008,2025-08-03 08:29:00,Portal,General,Negatif,Pending,42,True
INT-00008-0017,SME-2024-00008,2026-01-07 08:12:00,Phone,Technical,Positif,Resolved,31,False
INT-00008-0018,SME-2024-00008,2025-08-10 09:26:00,WhatsApp,Technical,Netral,Resolved,36,False
INT-00010-0019,SME-2024-00010,2026-02-09 11:00:00,WhatsApp,General,Positif,Resolved,44,False
INT-00010-0020,SME-2024-00010,2025-08-07 10:57:00,WhatsApp,Technical,Netral,Pending,14,True
INT-00010-0021,SME-2024-00010,2026-03-24 17:05:00,Phone,General,Netral,Resolved,9,False
INT-00010-0022,SME-2024-00010,2025-07-05 13:28:00,WhatsApp,Technical,Netral,Resolved,40,False
INT-00011-0023,SME-2024-00011,2026-03-10 13:32:00,Phone,General,Positif,Resolved,32,False
INT-00011-0024,SME-2024-00011,2025-08-03 14:04:00,Phone,Technical,Netral,Resolved,34,False
INT-00011-0025,SME-2024-00011,2025-09-22 09:52:00,Email,Billing,Negatif,Pending,50,True
INT-00012-0026,SME-2024-00012,2026-02-05 14:15:00,Phone,Upgrade,Positif,Escalated,32,True
INT-00012-0027,SME-2024-00012,2025-11-23 13:27:00,WhatsApp,Technical,Positif,Resolved,37,False
INT-00012-0028,SME-2024-00012,2026-05-16 13:14:00,WhatsApp,Technical,Positif,Resolved,49,False
INT-00013-0029,SME-2024-00013,2026-06-07 09:27:00,WhatsApp,General,Negatif,Escalated,57,True
INT-00013-0030,SME-2024-00013,2025-09-04 12:53:00,WhatsApp,Technical,Positif,Resolved,13,False
INT-00013-0031,SME-2024-00013,2026-02-19 13:39:00,Live Chat,Technical,Positif,Resolved,42,False
