metric_id,customer_id,period_month,bandwidth_utilization_pct,avg_daily_usage_hours,peak_usage_trend,service_downtime_minutes,support_ticket_count,feature_adoption_score
USE-00001-202507,SME-2024-00001,2025-07,81.7,13.0,Stabil,10,1,6
USE-00001-202508,SME-2024-00001,2025-08,85.1,12.5,Stabil,33,1,6
USE-00001-202509,SME-2024-00001,2025-09,83.7,13.2,Stabil,102,0,6
USE-00001-202510,SME-2024-00001,2025-10,82.9,12.1,Fluktuatif,2,1,6
USE-00001-202511,SME-2024-00001,2025-11,84.7,12.9,Stabil,1,1,6
USE-00001-202512,SME-2024-00001,2025-12,82.8,12.4,Stabil,71,3,6
USE-00001-202601,SME-2024-00001,2026-01,83.3,12.9,Fluktuatif,192,1,6
USE-00001-202602,SME-2024-00001,2026-02,85.2,12.8,Stabil,33,1,6
USE-00001-202603,SME-2024-00001,2026-03,83.6,12.1,Stabil,5,2,6
USE-00001-202604,SME-2024-00001,2026-04,82.8,11.6,Stabil,5,2,6
USE-00001-202605,SME-2024-00001,2026-05,83.7,12.8,Stabil,2,2,7
USE-00001-202606,SME-2024-00001,2026-06,83.6,12.8,Stabil,26,1,7
USE-00002-202507,SME-2024-00002,2025-07,72.0,10.3,Stabil,4,2,6
USE-00002-202508,SME-2024-00002,2025-08,74.3,11.4,Stabil,19,2,6
USE-00002-202509,SME-2024-00002,2025-09,75.4,10.6,Stabil,12,0,6
USE-00002-202510,SME-2024-00002,2025-10,75.2,11.0,Stabil,54,2,6
USE-00002-202511,SME-2024-00002,2025-11,77.4,11.8,Stabil,15,2,6
USE-00002-202512,SME-2024-00002,2025-12,76.4,10.8,Stabil,9,1,7
USE-00002-202601,SME-2024-00002,2026-01,79.6,12.7,Stabil,19,2,6
USE-00002-202602,SME-2024-00002,2026-02,79.2,11.5,Stabil,114,1,7
USE-00002-202603,SME-2024-00002,2026-03,80.4,11.2,Stabil,46,1,6
USE-00002-202604,SME-2024-00002,2026-04,81.8,12.8,Stabil,18,1,7
USE-00002-202605,SME-2024-00002,2026-05,81.2,11.7,Stabil,75,3,6
USE-00002-202606,SME-2024-00002,2026-06,81.5,12.6,Stabil,3,0,6
USE-00003-202507,SME-2024-00003,2025-07,80.4,12.3,Stabil,65,1,8
USE-00003-202508,SME-2024-00003,2025-08,81.6,11.9,Stabil,142,1,7
USE-00003-202509,SME-2024-00003,2025-09,83.1,12.6,Stabil,12,2,7
USE-00003-202510,SME-2024-00003,2025-10,79.8,12.0,Stabil,38,2,7
USE-00003-202511,SME-2024-00003,2025-11,83.0,12.4,Stabil,48,3,7
USE-00003-202512,SME-2024-00003,2025-12,81.0,12.1,Stabil,19,0,8
USE-00003-202601,SME-2024-00003,2026-01,79.0,11.3,Stabil,65,1,8
USE-00003-202602,SME-2024-00003,2026-02,82.7,12.5,Stabil,15,0,8
USE-00003-202603,SME-2024-00003,2026-03,79.7,12.7,Stabil,104,1,7
USE-00003-202604,SME-2024-00003,2026-04,81.7,13.4,Stabil,26,3,7
USE-00003-202605,SME-2024-00003,2026-05,79.2,11.3,Stabil,14,2,7
USE-00003-202606,SME-2024-00003,2026-06,81.6,12.5,Fluktuatif,16,1,8
USE-00004-202507,SME-2024-00004,2025-07,82.2,12.3,Naik,12,0,9
USE-00004-202508,SME-2024-00004,2025-08,82.0,12.0,Naik,30,3,8
USE-00004-202509,SME-2024-00004,2025-09,81.2,12.2,Naik,90,1,8
USE-00004-202510,SME-2024-00004,2025-10,80.9,12.5,Naik,20,0,8
USE-00004-202511,SME-2024-00004,2025-11,84.8,13.0,Naik,88,1,9
USE-00004-202512,SME-2024-00004,2025-12,81.0,11.8,Naik,9,2,8
USE-00004-202601,SME-2024-00004,2026-01,87.8,13.3,Naik,18,0,8
USE-00004-202602,SME-2024-00004,2026-02,88.7,13.0,Naik,5,1,8
USE-00004-202603,SME-2024-00004,2026-03,89.8,12.8,Naik,20,5,8
USE-00004-202604,SME-2024-00004,2026-04,89.3,13.3,Naik,8,1,8
USE-00004-202605,SME-2024-00004,2026-05,89.3,12.7,Naik,41,1,8
USE-00004-202606,SME-2024-00004,2026-06,89.7,13.6,Naik,12,1,9
USE-00005-202507,SME-2024-00005,2025-07,82.2,13.5,Stabil,31,1,7
USE-00005-202508,SME-2024-00005,2025-08,80.9,11.6,Stabil,40,1,8
USE-00005-202509,SME-2024-00005,2025-09,82.3,12.3,Fluktuatif,39,3,8
USE-00005-202510,SME-2024-00005,2025-10,81.1,12.1,Stabil,25,2,7
USE-00005-202511,SME-2024-00005,2025-11,81.3,11.7,Stabil,8,1,7
USE-00005-202512,SME-2024-00005,2025-12,82.2,12.6,Stabil,13,2,8
USE-00005-202601,SME-2024-00005,2026-01,81.5,12.5,Stabil,22,2,7
USE-00005-202602,SME-2024-00005,2026-02,81.7,12.5,Stabil,19,1,7
USE-00005-202603,SME-2024-00005,2026-03,81.7,12.2,Stabil,48,1,8
USE-00005-202604,SME-2024-00005,2026-04,82.3,12.1,Stabil,123,1,8
USE-00005-202605,SME-2024-00005,2026-05,79.7,11.3,Stabil,32,0,7
USE-00005-202606,SME-2024-00005,2026-06,82.0,11.5,Stabil,11,0,8
USE-00006-202507,SME-2024-00006,2025-07,67.8,10.5,Stabil,25,1,7
USE-00006-202508,SME-2024-00006,2025-08,68.5,10.3,Fluktuatif,4,1,6
USE-00006-202509,SME-2024-00006,2025-09,66.7,9.5,Fluktuatif,51,0,6
USE-00006-202510,SME-2024-00006,2025-10,67.5,10.7,Fluktuatif,3,3,6
USE-00006-202511,SME-2024-00006,2025-11,69.1,9.5,Stabil,96,1,7
USE-00006-202512,SME-2024-00006,2025-12,70.0,9.9,Stabil,66,1,7
USE-00006-202601,SME-2024-00006,2026-01,70.6,9.7,Fluktuatif,73,0,7
USE-00006-202602,SME-2024-00006,2026-02,67.1,10.1,Stabil,33,3,6
USE-00006-202603,SME-2024-00006,2026-03,67.4,9.7,Stabil,16,1,7
USE-00006-202604,SME-2024-00006,2026-04,69.7,11.1,Stabil,115,4,7
USE-00006-202605,SME-2024-00006,2026-05,70.0,11.4,Stabil,12,1,6
USE-00006-202606,SME-2024-00006,2026-06,67.6,10.2,Stabil,14,1,7
USE-00007-202507,SME-2024-00007,2025-07,70.4,10.8,Stabil,110,1,8
USE-00007-202508,SME-2024-00007,2025-08,74.5,11.8,Fluktuatif,12,2,8
USE-00007-202509,SME-2024-00007,2025-09,72.5,11.7,Stabil,49,0,7
USE-00007-202510,SME-2024-00007,2025-10,69.9,10.9,Stabil,53,0,7
USE-00007-202511,SME-2024-00007,2025-11,72.0,11.1,Stabil,6,0,7
USE-00007-202512,SME-2024-00007,2025-12,68.3,10.0,Fluktuatif,31,1,8
